OBJECTID_,WardID_,WardNo_,Crowded dwellings,No piped water,Using public healthcare facilities,Poor health status,Failed to find healthcare when needed,No medical insurance,Household hunger risk,Benefiting from school feeding scheme,UTFVI,LST,NDVI,NDBI__mean,concern_he,cancer_pro,diabetes_p,pneumonia_,heart_dise,hypertensi,hiv_prop,tb_prop,covid_prop,60_plus_pr,Ward_HVI_1_OBJECTID_,Ward_HVI_1_WardNo_,Ward_HVI_1_HVI_PC1,Ward_HVI_1_HVI_weighted,Ward_HVI_1_HVI_PC1_standardized,Ward_HVI_1_HVI_weighted_standardized,geometry,HVI_PC1,HVI_PC1_standardized,HVI_weighted,HVI_weighted_standardized,Climate_PC1,SocioEcon_PC1,LISA_Cluster,LISA_Type,CVI,CVI_standardized
3692,74205010,10,11.78,0.0,91.69,6.34,2.54,88.02,36.35,46.18,-0.049124600023051,28.43036205223739,0.115361822023384,0.365519494277152,40.0,5.0,0.0015,0.0005,0.002,0.0035,0.001,0.0005,0.0005,0.0005,3692,10,-1.0675894606842515,-0.06203826320367767,0.3329997012335213,0.4391669315792239,"POLYGON ((27.717760001 -26.2028570009999, 27.720290001 -26.2038599969999, 27.718995169 -26.2124299779999, 27.7135724840001 -26.211495407, 27.7142019990001 -26.2039249969999, 27.717760001 -26.2028570009999))",-1.0675894606842495,0.3329997012335212,-0.062389626080699784,0.46273052473399384,0.8326032230449539,-0.9390136178734992,3,LL,-0.062038263203676496,0.4391669315792236
2390,79800001,1,13.43,1.63,83.82,5.64,10.54,83.44,50.33,58.62,-0.029890344494737,29.03613962560344,0.127434811212227,0.359613503125447,26.923076923076923,3.846153846153846,0.000384615384615,0.0,0.001153846153846,0.004230769230769,0.001923076923077,0.0,0.000384615384615,0.000384615384615,2390,1,-2.569987902460258,-0.761630731739387,0.1832694286792885,0.24883308624603795,"POLYGON ((27.8506949170001 -26.4780890919999, 27.853057166 -26.480518827, 27.855612906 -26.4805327719999, 27.8598989160001 -26.485937653, 27.858698271 -26.4935308669999, 27.859107002 -26.4976980079999, 27.856484573 -26.5034211569999, 27.852009996 -26.499729997, 27.8350699980001 -26.49045, 27.829963999 -26.500076, 27.827778 -26.5043360069999, 27.8244679970001 -26.479878002, 27.8270535350001 -26.4791702389999, 27.838088853 -26.483957049, 27.8411761350001 -26.47806609, 27.8458220250001 -26.4801574649999, 27.845763864 -26.476440549, 27.8506949170001 -26.4780890919999))",-2.569987902460264,0.18326942867928764,-0.5755682134639364,0.32871336249385835,1.099797155666925,-2.3471122916424503,3,LL,-0.7616307317393908,0.24883308624603637
2391,79800002,2,37.54,0.0,88.13,5.2,5.57,85.63,70.01,65.64,-0.033191764120685,28.867685456696083,0.133617554115601,0.360369033166919,57.692307692307686,11.538461538461538,0.001538461538462,0.0,0.001153846153846,0.002692307692308,0.002692307692308,0.0,0.0,0.000384615384615,2391,2,-3.1743817739259828,-0.8892171999460734,0.12303503506683623,0.21412141595449397,"POLYGON ((27.8829710040001 -26.4929679969999, 27.886528411 -26.5070705369999, 27.886090003 -26.512049997, 27.887210001 -26.5262500009999, 27.8867100030001 -26.522359998, 27.877978001 -26.521702999, 27.8756300040001 -26.520499999, 27.8660649990001 -26.512439001, 27.8645480010001 -26.509998004, 27.864405295 -26.504792069, 27.8741800010001 -26.5014469979999, 27.8741952 -26.4982382549999, 27.878440998 -26.497459, 27.8786600010001 -26.492254998, 27.8829710040001 -26.4929679969999))",-3.174381773925977,0.12303503506683659,-0.5679556538916263,0.3307013909431107,0.9258080530054903,-3.49530986496712,3,LL,-0.8892171999460705,0.21412141595449422
2392,79800003,3,16.03,1.58,90.0,0.0,7.41,56.14,50.54,54.28,-0.044875516341945,28.503578492501322,0.130552731639018,0.355435343767283,30.769230769230774,3.846153846153846,0.001923076923077,0.0,0.000769230769231,0.002692307692308,0.001538461538462,0.000384615384615,0.0,0.000384615384615,2392,3,-1.646309337963577,-0.48064443181817873,0.2753239991373762,0.32527931080572614,"POLYGON ((27.870420998 -26.4678699959999, 27.87073 -26.475609999, 27.881726998 -26.4887369959999, 27.8796480030001 -26.486609996, 27.873477703 -26.487614623, 27.8729575180001 -26.489520602, 27.8598989160001 -26.485937653, 27.855612906 -26.4805327719999, 27.853057166 -26.480518827, 27.8506949170001 -26.4780890919999, 27.8512877420001 -26.475268286, 27.8546491880001 -26.4719683619999, 27.8596981590001 -26.47032175, 27.8596830660001 -26.4686200089999, 27.865054 -26.469071001, 27.870420998 -26.4678699959999))",-1.64630933796358,0.2753239991373756,-0.2251375795459901,0.42022871460386935,0.5580570116545921,-1.5208973207323684,3,LL,-0.4806444318181808,0.32527931080572503
2393,79800004,4,13.77,0.0,84.38,4.64,0.0,64.37,56.42,56.8,-0.060230178498377,28.006825040818335,0.133040433372206,0.353161775460388,38.46153846153847,0.0,0.000769230769231,0.0,0.000769230769231,0.002692307692308,0.001923076923077,0.0,0.0,0.000769230769231,2393,4,-1.1988285890961565,-0.4033934750373366,0.31992030104214103,0.34629650627459774,"POLYGON ((27.8690749990001 -26.4448009979999, 27.870420998 -26.4678699959999, 27.865054 -26.469071001, 27.8596830660001 -26.4686200089999, 27.8596981590001 -26.47032175, 27.8546491880001 -26.4719683619999, 27.851220003 -26.4726739989999, 27.8489700010001 -26.4698439979999, 27.845982887 -26.4688470729999, 27.848150361 -26.464727841, 27.841965939 -26.46016672, 27.838062607 -26.459330602, 27.847089834 -26.449274416, 27.8590419220001 -26.4457092229999, 27.8616702050001 -26.4491536579999, 27.8690749990001 -26.4448009979999))",-1.1988285890961632,0.3199203010421401,-0.2684916883968662,0.4089067405728185,0.06865298518340468,-1.1847070237309072,3,LL,-0.4033934750373402,0.34629650627459624
2394,79800005,5,15.01,5.5,84.4,4.14,7.12,66.93,48.61,47.53,-0.009148044353919,29.747087869099932,0.136683592743871,0.380440513363988,53.84615384615385,0.0,0.000384615384615,0.0,0.000769230769231,0.003076923076923,0.001923076923077,0.001153846153846,0.0,0.001153846153846,2394,5,-2.555500316500399,-0.8978142379901618,0.18471327349042813,0.2117824723794839,"POLYGON ((27.830016519 -26.423493375, 27.8313847210001 -26.423594071, 27.8303301880001 -26.4243631859999, 27.8339445300001 -26.446467115, 27.845208072 -26.444706864, 27.847089834 -26.449274416, 27.838062607 -26.459330602, 27.841965939 -26.46016672, 27.848150361 -26.464727841, 27.845982887 -26.4688470729999, 27.8489700010001 -26.4698439979999, 27.851220003 -26.4726739989999, 27.8546491880001 -26.4719683619999, 27.8512877420001 -26.475268286, 27.8506949170001 -26.4780890919999, 27.845763864 -26.476440549, 27.8458220250001 -26.4801574649999, 27.8411761350001 -26.47806609, 27.838088853 -26.483957049, 27.8270535350001 -26.4791702389999, 27.8244679970001 -26.479878002, 27.8216899980001 -26.4848799979999, 27.8178499950001 -26.4843600039999, 27.7795500060001 -26.479220004, 27.778860002 -26.485009997, 27.7597100040001 -26.483869988, 27.759240001 -26.444660003, 27.768940001 -26.44565, 27.769279996 -26.4509600019999, 27.77276999 -26.451949999, 27.780280002 -26.4525799959999, 27.783399999 -26.4467000019999, 27.785939996 -26.4476199969999, 27.7945500020001 -26.428880003, 27.791649008 -26.4202419989999, 27.8143900040001 -26.425229999, 27.8138359540001 -26.421448851, 27.830016519 -26.423493375))",-2.5555003165004035,0.18471327349042743,-0.8694831527215756,0.2519571472742338,1.9576517837622924,-2.041359481861756,3,LL,-0.8978142379901649,0.2117824723794825
2395,79800006,6,7.94,13.86,91.88,7.54,9.72,91.65,69.05,79.63,-0.02567082497646,29.162541124141082,0.145587507599605,0.376332066781121,65.38461538461539,0.0,0.000769230769231,0.0,0.0,0.000769230769231,0.001538461538462,0.0,0.0,0.000384615384615,2395,6,-3.2588763036013946,-1.328833182405258,0.1146142402857356,0.09451778359047286,"POLYGON ((27.893845997 -26.3974670019999, 27.893159999 -26.40431, 27.9355500020001 -26.399820001, 27.933380002 -26.424185, 27.922269999 -26.4289800019999, 27.9175100030001 -26.458580002, 27.9122100000001 -26.458490002, 27.9148399970001 -26.440969997, 27.87915 -26.4467500019999, 27.8786399960001 -26.440879996, 27.875990003 -26.440360003, 27.8690749990001 -26.4448009979999, 27.8616702050001 -26.4491536579999, 27.8590419220001 -26.4457092229999, 27.847089834 -26.449274416, 27.845208072 -26.444706864, 27.8339445300001 -26.446467115, 27.8303301880001 -26.4243631859999, 27.8313847210001 -26.423594071, 27.835868399 -26.424238569, 27.847944001 -26.424888998, 27.8552673670001 -26.4245126559999, 27.860948127 -26.4233452899999, 27.865339 -26.423492004, 27.867352527 -26.4196895809999, 27.8761426230001 -26.419512733, 27.876778722 -26.4207462319999, 27.8897858510001 -26.4037530219999, 27.893845997 -26.3974670019999))",-3.258876303601393,0.11461424028573555,-1.156949386634555,0.17688501867018874,1.306737084079813,-3.1129882602550714,3,LL,-1.3288331824052564,0.09451778359047273
2396,79800007,7,21.17,9.4,89.94,12.42,8.57,71.97,46.33,39.56,-0.058351280986247,28.030613374887416,0.151322438471482,0.336988965035167,46.15384615384615,0.0,0.001538461538462,0.0,0.0,0.001923076923077,0.001153846153846,0.000384615384615,0.0,0.000769230769231,2396,7,-1.6201987692245488,-0.5509745476971334,0.27792620003504165,0.30614502620430933,"POLYGON ((27.8761426230001 -26.419512733, 27.867352527 -26.4196895809999, 27.865339 -26.423492004, 27.860948127 -26.4233452899999, 27.8552673670001 -26.4245126559999, 27.847944001 -26.424888998, 27.835868399 -26.424238569, 27.8313847210001 -26.423594071, 27.830016519 -26.423493375, 27.828989569 -26.4155414169999, 27.8298561400001 -26.412802213, 27.8344316710001 -26.413589106, 27.833592105 -26.4084179029999, 27.834798102 -26.404530613, 27.8345967450001 -26.4000194119999, 27.842341226 -26.3992292799999, 27.8475985640001 -26.398319241, 27.851563218 -26.401831924, 27.8593492100001 -26.4048401479999, 27.8620441370001 -26.407059331, 27.863076855 -26.4097020419999, 27.868911757 -26.4093558449999, 27.873142864 -26.410255408, 27.8737836240001 -26.4149449769999, 27.8761426230001 -26.419512733))",-1.6201987692245516,0.27792620003504104,-0.4245414231290035,0.36815417775883447,-0.4075436680337904,-2.0313887884987505,3,LL,-0.5509745476971346,0.30614502620430845
2397,79800008,8,13.73,8.72,70.89,15.21,3.66,61.42,42.58,47.28,0.009305041889943,30.35010047063013,0.137531718767221,0.359835199808353,42.30769230769231,0.0,0.000769230769231,0.0,0.0,0.001153846153846,0.001153846153846,0.0,0.0,0.0,2397,8,-1.8205393590422654,-0.9657627823914173,0.2579600909903447,0.1932961273681474,"POLYGON ((27.8728130010001 -26.3534270009999, 27.8547500400001 -26.347439939, 27.851914978 -26.359139332, 27.8487052290001 -26.365218345, 27.841934317 -26.371481455, 27.839886988 -26.375122801, 27.836939036 -26.375717832, 27.835712544 -26.371950027, 27.832210886 -26.370558108, 27.831755012 -26.36798622, 27.8272682940001 -26.3658857149999, 27.826364998 -26.367390999, 27.8193175500001 -26.364473559, 27.8115399980001 -26.364469003, 27.810450003 -26.3328899979999, 27.8244700000001 -26.337480001, 27.823382 -26.324370997, 27.8267975410001 -26.3241835649999, 27.835058971 -26.3263707429999, 27.835616552 -26.3310815799999, 27.8376522610001 -26.333832236, 27.8428109980001 -26.3355260029999, 27.846798832 -26.337849955, 27.8493330250001 -26.3359942079999, 27.8550938230001 -26.334726114, 27.8551376360001 -26.3308462959999, 27.8608592430001 -26.3292487059999, 27.8715072310001 -26.3162842589999, 27.872689999 -26.313873997, 27.8878920010001 -26.3232380009999, 27.892791109 -26.3264655589999, 27.8888146960001 -26.328291539, 27.8854019550001 -26.3372319599999, 27.8739773620001 -26.3538105709999, 27.8728130010001 -26.3534270009999))",-1.8205393590422705,0.25796009099034395,-0.9524459783509804,0.23029131254217614,2.0730328670509177,-1.0317743593764324,2,LH,-0.965762782391421,0.1932961273681459
2398,79800009,9,0.0,2.84,42.8,11.5,1.88,43.91,6.89,10.7,-0.060127556943398,27.867287635409088,0.171270196781194,0.3166015431467,61.53846153846155,7.692307692307694,0.003461538461538,0.001153846153846,0.001923076923077,0.001538461538462,0.000384615384615,0.0,0.000384615384615,0.001538461538462,2398,9,3.1560660237672025,1.310142587971236,0.7539327036097195,0.8124877857092514,"POLYGON ((27.8562241710001 -26.3008285769999, 27.8618837070001 -26.303079109, 27.867360756 -26.304263512, 27.880459134 -26.304147574, 27.889557756 -26.305204563, 27.8878920010001 -26.3232380009999, 27.872689999 -26.313873997, 27.8715072310001 -26.3162842589999, 27.8608592430001 -26.3292487059999, 27.8551376360001 -26.3308462959999, 27.8550938230001 -26.334726114, 27.8493330250001 -26.3359942079999, 27.846798832 -26.337849955, 27.8428109980001 -26.3355260029999, 27.8376522610001 -26.333832236, 27.835616552 -26.3310815799999, 27.835058971 -26.3263707429999, 27.8267975410001 -26.3241835649999, 27.823382 -26.324370997, 27.8227439980001 -26.3167009979999, 27.826805666 -26.316448759, 27.829321743 -26.317878255, 27.8340625550001 -26.3166963209999, 27.8398885500001 -26.3172114569999, 27.84649117 -26.3234924449999, 27.849730262 -26.3204855769999, 27.8470063290001 -26.317947321, 27.849397304 -26.314402287, 27.8453593180001 -26.3127172759999, 27.8442825970001 -26.308388264, 27.848683941 -26.303003568, 27.849053772 -26.299015433, 27.8515984430001 -26.2989711229999, 27.8562241710001 -26.3008285769999))",3.1560660237672065,0.7539327036097195,1.291112935598074,0.8161992330171808,-1.1092482924429106,2.365054084437084,4,HL,1.310142587971236,0.8124877857092507
