OBJECTID_;WardID_;WardNo_;HVI_PC1;HVI_weighted;HVI_PC1_standardized;HVI_weighted_standardized
3692;74205010;10;-1.0675894606842515;-0.06203826320367767;0.3329997012335213;0.4391669315792239
2390;79800001;1;-2.569987902460258;-0.761630731739387;0.1832694286792885;0.24883308624603795
2391;79800002;2;-3.1743817739259828;-0.8892171999460734;0.12303503506683623;0.21412141595449397
2392;79800003;3;-1.646309337963577;-0.48064443181817873;0.2753239991373762;0.32527931080572614
2393;79800004;4;-1.1988285890961565;-0.4033934750373366;0.31992030104214103;0.34629650627459774
2394;79800005;5;-2.555500316500399;-0.8978142379901618;0.18471327349042813;0.2117824723794839
2395;79800006;6;-3.2588763036013946;-1.328833182405258;0.1146142402857356;0.09451778359047286
2396;79800007;7;-1.6201987692245488;-0.5509745476971334;0.27792620003504165;0.30614502620430933
2397;79800008;8;-1.8205393590422654;-0.9657627823914173;0.2579600909903447;0.1932961273681474
2398;79800009;9;3.1560660237672025;1.310142587971236;0.7539327036097195;0.8124877857092514
2399;79800010;10;-0.78317135156829;-0.2640964458703496;0.3613450454598844;0.3841941972836717
2400;79800011;11;-0.8974115247364975;-0.43527902987978245;0.3499597752216524;0.3376215983293372
2401;79800012;12;-1.9913124113676333;-0.6585553641160198;0.24094070721131935;0.2768761712723111
2402;79800013;13;0.23009990763334756;-0.03480468674447082;0.4623284980467258;0.44657620420976757
2403;79800014;14;0.1673857726970627;0.0767175415692515;0.4560783554374773;0.4769173749766636
2404;79800015;15;-3.4132405413363593;-1.0516251519454027;0.09923017255376933;0.16993607747962444
2405;79800016;16;-1.8057186696801504;-0.050770420264765775;0.259437133162332;0.4422325047116253
2406;79800017;17;-1.0629139525808884;-0.2973149747913637;0.33346566624199037;0.37515663523117865
2407;79800018;18;-0.07833771926561724;0.10635467687153269;0.43158934879217137;0.48498056916534593
2408;79800019;19;-1.990433007249083;-0.2934359177424535;0.24102834935383927;0.3762119865644073
2409;79800020;20;-1.8909168518329136;-0.24924672462388164;0.25094621179277943;0.38823427014620837
2410;79800021;21;-1.8930510692687026;-0.41643408332377657;0.2507335139161942;0.3427486277134734
2411;79800022;22;-1.0088287942619056;-0.24435805274843603;0.33885583789756474;0.3895643012121135
2412;79800023;23;2.7544375674696417;0.7037157093646818;0.7139060791439207;0.6475009327773218
2413;79800024;24;-1.8857524455498489;-0.9192000139620473;0.2514609007986;0.20596417507179174
2414;79800025;25;-1.4656936260696434;0.0024503657904791066;0.2933243105178159;0.45671195856102376
2415;79800026;26;-1.1694660554745528;-0.21689439436790708;0.32284659545232985;0.3970361708241807
2416;79800027;27;-0.7916825715468585;0.13452661156241805;0.360496810230318;0.4926451351824941
2417;79800028;28;-0.9411608958482689;-0.12800655535049835;0.34559967667622377;0.4212193416907165
2418;79800029;29;-0.7798287096969689;0.039642936859011345;0.3616781759161783;0.4668307139617478
2419;79800030;30;-2.3622230187161897;-0.8188675820153687;0.20397544900331374;0.23326100635988728
2420;79800031;31;-2.15824095499967;-0.7939339008572406;0.22430447035156864;0.2400445605383238
2421;79800032;32;2.76451537307841;0.43595823916423276;0.7149104415943808;0.574653795033534
2422;79800033;33;-1.1821806158075807;-0.29902175440694306;0.3215794518430613;0.3746922821370845
2423;79800034;34;-2.0572085466771135;-0.6084209576826664;0.23437344381047637;0.29051593268931086
2424;79800035;35;-2.8205918634016944;-0.47027152005223605;0.15829403045498314;0.32810140548585626
2425;79800036;36;-0.736264093975058;-0.09079493887880573;0.366019861586493;0.4313432786578273
2426;79800037;37;-2.2302153098283317;-0.7836379107910798;0.21713144656124095;0.24284572760192352
2427;79800038;38;-1.2261768279987055;-0.38769522010554364;0.3171947529113027;0.35056743450863476
2428;79800039;39;-2.0863983971090714;-0.6041366765907447;0.23146435914993332;0.29168153085022375
2429;79800040;40;-2.0023276524388653;-0.658838074097773;0.2398429191665604;0.27679925609617473
2430;79800041;41;-2.7523844944369174;-0.6286533802588529;0.16509163331540053;0.2850114211879338
